cocktail.name,ingredient,measure,row
zorro,sambuca,20,1
zorro,bailey's irish cream,20,2
zorro,white creme de menthe,20,3
zorbatini,vodka,36.875,4
zorbatini,ouzo,7.375,5
zombie #1,light rum,29.5,6
zombie #1,creme de almond,14.75,7
zombie #1,sweet and sour,44.25,8
zombie #1,triple sec,14.75,9
zombie #1,orange juice,44.25,10
zombie #1,151 proof rum,14.75,11
zizi coin-coin,cointreau,50,12
zizi coin-coin,lemon juice,20,13
zizi coin-coin,ice,120,14
zizi coin-coin,lemon,100,15
zippy's revenge,amaretto,59,16
zippy's revenge,rum,59,17
zippy's revenge,kool-aid,118,18
zipperhead,chambord raspberry liqueur,29.5,19
zipperhead,vodka,29.5,20
zipperhead,soda water,100,21
zinger,peachtree schnapps,118,22
zinger,surge,118,23
zimadori zinger,midori melon liqueur,44.25,24
zimadori zinger,zima,354,25
zima blaster,zima,354,26
zima blaster,chambord raspberry liqueur,88.5,27
ziemes martini apfelsaft,vermouth,40,28
ziemes martini apfelsaft,apple juice,160,29
zenmeister,jägermeister,14.75,30
zenmeister,root beer,14.75,31
zambeer,sambuca,44.25,32
zambeer,root beer,295,33
zambeer,ice,120,34
yukon cornelius,yukon jack,59,35
yukon cornelius,goldschlager,7.375,36
yucca,lemon,100,37
yucca,lime,100,38
yucca,sugar,30,39
yucca,vodka,1892.5,40
yucca,ice,80,41
yoyo blow out,light rum,29.5,42
yoyo blow out,sour mix,59,43
yoyo blow out,ice,29.5,44
yolanda,gin,14.75,45
yolanda,brandy,14.75,46
yolanda,sweet vermouth,29.5,47
yolanda,anisette,14.75,48
yolanda,grenadine,0.9,49
yolanda,orange peel,150,50
yoghurt cooler,yoghurt,257,51
yoghurt cooler,fruit,257,52
yoghurt cooler,ice,100,53
yo mama cocktail,orange vodka,44.25,54
yo mama cocktail,soda water,100,55
yo mama cocktail,orange juice,100,56
yellow strawberry,light rum,29.5,57
yellow strawberry,creme de banane,14.75,58
yellow strawberry,strawberries,118,59
yellow strawberry,sweet and sour,29.5,60
yellow strawberry,banana,10,61
yellow rattler,gin,29.5,62
yellow rattler,sweet vermouth,14.75,63
yellow rattler,dry vermouth,14.75,64
yellow rattler,orange juice,11.1,65
yellow rattler,cocktail onion,10,66
yellow parakeet,midori melon liqueur,29.5,67
yellow parakeet,banana,14.75,68
yellow parakeet,light rum,14.75,69
yellow parakeet,orange juice,20,70
yellow parakeet,pineapple juice,10,71
yellow parakeet,sour mix,3.7,72
yellow birdie,vodka,29.5,73
yellow birdie,creme de banane,29.5,74
yellow birdie,sprite,177,75
yellow bird,151 proof rum,29.5,76
yellow bird,galliano,14.75,77
yellow bird,vodka,14.75,78
yellow bird,sour mix,118,79
yaps,yukon jack,29.5,80
yaps,apple schnapps,29.5,81
yale cocktail,dry vermouth,14.75,82
yale cocktail,gin,44.25,83
yale cocktail,blue curacao,3.7,84
yale cocktail,bitters,0.9,85
yaka,absolut vodka,10,86
yaka,everclear,10,87
yaka,lemonade,10,88
yaka,lemon,70,89
yaka,water,20,90
xeres cocktail,sherry,59,91
xeres cocktail,orange bitters,0.9,92
xanthia cocktail,cherry brandy,22.125,93
xanthia cocktail,gin,22.125,94
xanthia cocktail,yellow chartreuse,22.125,95
x.y.z. cocktail,light rum,29.5,96
x.y.z. cocktail,triple sec,14.75,97
x.y.z. cocktail,lemon juice,11.1,98
wooly mitten,southern comfort,44.25,99
wooly mitten,peppermint schnapps,29.5,100
wooly mitten,bailey's irish cream,44.25,101
wooly mitten,cocoa powder,10,102
wooly mitten,water,100,103
wooly mitten,whipped cream,59,104
woody woodpecker,cachaca,40,105
woody woodpecker,orange juice,150,106
woody woodpecker,galliano,10,107
woody woodpecker,ice,36,108
woodward cocktail,dry vermouth,14.75,109
woodward cocktail,scotch,44.25,110
woodward cocktail,grapefruit juice,11.1,111
woodpecker,vodka,59,112
woodpecker,peychaud bitters,13.5,113
woodpecker,ice,40,114
woo woo,peach schnapps,44.25,115
woo woo,vodka,44.25,116
woo woo,cranberry juice,103.25,117
wong tong cocktail,vodka,59,118
wong tong cocktail,gin,29.5,119
wong tong cocktail,dry vermouth,29.5,120
wong tong cocktail,lemonade,59,121
wong tong cocktail,maraschino cherry,20,122
wolfsbane,vodka,59,123
wolfsbane,cherry brandy,44.25,124
wolfsbane,cream,14.75,125
wolfsbane,egg white,10,126
wolfsbane,lemon juice,100,127
wolfsbane,sugar,100,128
wobbler,absolut kurant,40,129
wobbler,grape juice,100,130
wobbler,schweppes russchian,100,131
wobbler,grenadine,100,132
witch's clit,lemon-lime soda,2838.75,133
witch's clit,vodka,946.25,134
witch's brew,yellow chartreuse,59,135
witch's brew,blue curacao,44.25,136
witch's brew,brandy,14.75,137
witch's brew,cloves,0.925,138
witch's brew,nutmeg,0.9,139
witch's brew,allspice,0.9,140
wisconsin lunchbucket,beer,118.25,141
wisconsin lunchbucket,orange juice,118.25,142
wisconsin lunchbucket,amaretto,29.5,143
winky,gin,44.25,144
winky,grapefruit-lemon soda,295,145
winegum,vodka,29.5,146
winegum,lemon soda,100,147
winegum,apricot,100,148
wine punch,red wine,10,149
wine punch,lemon,20,150
wine punch,orange juice,257,151
wine punch,orange,30,152
wine punch,pineapple juice,257,153
wine cooler,red wine,59,154
wine cooler,lemon-lime soda,147.5,155
wine cooler,ice,120,156
windex,vodka,73.75,157
windex,triple sec,14.75,158
windex,blue curacao,14.75,159
williams explosion,vodka,40,160
williams explosion,pear,5,161
williams explosion,pear juice,40,162
williams explosion,pear soft drink,100,163
william's rainbow,vodka,30,164
william's rainbow,blue curacao,10,165
william's rainbow,grenadine,10,166
will rogers,gin,44.25,167
will rogers,dry vermouth,14.75,168
will rogers,triple sec,0.9,169
will rogers,orange juice,11.1,170
wild wild west,jack daniels,44.25,171
wild wild west,peach schnapps,29.5,172
wild wild west,cranberry juice,59,173
wild thing,tequila,44.25,174
wild thing,cranberry juice,29.5,175
wild thing,club soda,29.5,176
wild thing,lime juice,14.75,177
wild peppertini,wild turkey,14.75,178
wild peppertini,peppermint schnapps,14.75,179
wild ass indian,vodka,3785,180
wild ass indian,rum,3785,181
wild ass indian,scotch,3785,182
wiggle worm,vodka,89,183
wiggle worm,tropicana,128.5,184
wiggle worm,sugar,3.7,185
wiggle worm,maraschino cherry,20,186
widow woods' nightcap,scotch,59,187
widow woods' nightcap,dark creme de cacao,14.75,188
widow woods' nightcap,milk,118,189
widow's kiss,brandy,29.5,190
widow's kiss,yellow chartreuse,14.75,191
widow's kiss,benedictine,14.75,192
widow's kiss,bitters,0.9,193
wicked tasty treat,vodka,29.5,194
wicked tasty treat,amaretto,29.5,195
wicked tasty treat,kahlua,29.5,196
wicked tasty treat,bailey's irish cream,29.5,197
wicked tasty treat,cream,29.5,198
why not?,apricot brandy,29.5,199
why not?,gin,29.5,200
why not?,dry vermouth,14.75,201
why not?,lemon juice,0.9,202
whoop juice,vodka,10,203
whoop juice,everclear,10,204
whoop juice,fruit punch,355,205
whoop juice,lemonade,355,206
whoop juice,limeade,355,207
whoop juice,7-up,946,208
whitecap margarita,ice,257,209
whitecap margarita,tequila,59,210
whitecap margarita,cream of coconut,64.25,211
whitecap margarita,lime juice,33.3,212
white way cocktail,gin,44.25,213
white way cocktail,white creme de menthe,22.125,214
white spider #2,sour mix,29.5,215
white spider #2,gin,29.5,216
white spider #2,cointreau,14.75,217
white spider #1,vodka,29.5,218
white spider #1,white creme de menthe,29.5,219
white russian,vodka,59,220
white russian,coffee liqueur,29.5,221
white russian,light cream,100,222
white out,peppermint schnapps,59,223
white out,cointreau,29.5,224
white out,cognac,29.5,225
white mess,white rum,29.5,226
white mess,creme de cassis,29.5,227
white mess,root beer schnapps,29.5,228
white mess,malibu rum,29.5,229
white mess,heavy cream,29.5,230
white lion cocktail,light rum,44.25,231
white lion cocktail,lemon,5,232
white lion cocktail,grenadine,1.85,233
white lion cocktail,powdered sugar,3.7,234
white lion cocktail,bitters,1.8,235
white lily cocktail,light rum,22.125,236
white lily cocktail,gin,22.125,237
white lily cocktail,triple sec,22.125,238
white lily cocktail,anisette,0.925,239
white lightening,lemon vodka,59,240
white lightening,lemonade,295,241
white lady,gin,59,242
white lady,egg white,10,243
white lady,light cream,29.5,244
white lady,sugar,3.7,245
white heart,sambuca,14.75,246
white heart,creme de cacao,14.75,247
white heart,cream,59,248
whisky mac,scotch,44.25,249
whisky mac,wine,29.5,250
whiskey sour old-fashioned,whiskey,44.25,251
whiskey sour old-fashioned,sour mix,147.5,252
whiskey sour old-fashioned,maraschino cherry juice,11.1,253
whiskey sour old-fashioned,bitters,1.8,254
whiskey sour,blended whiskey,59,255
whiskey sour,lemon,5,256
whiskey sour,powdered sugar,1.85,257
whiskey sour,cherry,10,258
whiskey sour,lemon,5,259
whiskey rickey,blended whiskey,44.25,260
whiskey rickey,lime,5,261
whiskey rickey,carbonated water,100,262
whiskey rickey,lime,100,263
whiskey milk punch,blended whiskey,59,264
whiskey milk punch,powdered sugar,3.7,265
whiskey milk punch,milk,236,266
whiskey milk punch,nutmeg,100,267
whiskey manhattan,whiskey,44.25,268
whiskey manhattan,sweet vermouth,44.25,269
whiskey highball,blended whiskey,59,270
whiskey highball,carbonated water,100,271
whiskey highball,lemon peel,100,272
whiskey flip,blended whiskey,44.25,273
whiskey flip,light cream,7.4,274
whiskey flip,powdered sugar,3.7,275
whiskey flip,egg,10,276
whiskey flip,nutmeg,100,277
whiskey fix,blended whiskey,73.75,278
whiskey fix,lemon,5,279
whiskey fix,powdered sugar,3.7,280
whiskey fix,lemon,10,281
whiskey eggnog,blended whiskey,59,282
whiskey eggnog,powdered sugar,3.7,283
whiskey eggnog,egg,10,284
whiskey eggnog,milk,147.5,285
whiskey eggnog,nutmeg,100,286
whiskey collins,blended whiskey,59,287
whiskey collins,powdered sugar,3.7,288
whiskey collins,lemon,5,289
whiskey collins,carbonated water,100,290
whiskey collins,cherry,100,291
whiskey collins,orange,100,292
whiskey cocktail,blended whiskey,59,293
whiskey cocktail,sugar syrup,3.7,294
whiskey cocktail,bitters,0.9,295
whiskey cocktail,cherry,10,296
whippet,vodka,30,297
whippet,orange juice,100,298
whippet,raspberry cordial,100,299
whip cocktail,sweet vermouth,14.75,300
whip cocktail,dry vermouth,14.75,301
whip cocktail,brandy,44.25,302
whip cocktail,triple sec,3.7,303
whip cocktail,anis,0.925,304
what the hell,dry vermouth,29.5,305
what the hell,gin,29.5,306
what the hell,apricot brandy,29.5,307
what the hell,lemon juice,0.9,308
what she's having,absolut citron,59,309
what she's having,orange juice,118,310
what she's having,amaretto,29.5,311
what she's having,grenadine,3.7,312
wet snatch,ice,147.5,313
wet snatch,tequila,88.5,314
wet snatch,vanilla syrup,29.5,315
wet snatch,coconut milk,59,316
wet snatch,raspberry juice,29.5,317
wet snatch,pineapple juice,59,318
wet dream,amaretto,14.75,319
wet dream,blue curacao,7.375,320
wet dream,creme de banane,7.375,321
wet dream,sweet and sour,7.375,322
wet dream,pineapple juice,3.7,323
wet dream,chambord raspberry liqueur,7.375,324
wet back,kahlua,14.75,325
wet back,tequila,14.75,326
western rose,apricot brandy,14.75,327
western rose,dry vermouth,14.75,328
western rose,gin,29.5,329
western rose,lemon juice,0.925,330
wembly cocktail,gin,44.25,331
wembly cocktail,dry vermouth,22.125,332
wembly cocktail,apricot brandy,0.925,333
wembly cocktail,apple brandy,1.85,334
welcome delight,orange juice,118,335
welcome delight,vodka,88.5,336
welcome delight,white wine,177,337
welcome delight,sprite,177,338
weep-no-more cocktail,dubonnet rouge,22.125,339
weep-no-more cocktail,brandy,22.125,340
weep-no-more cocktail,maraschino liqueur,0.925,341
weep-no-more cocktail,lime,5,342
wedding belle cocktail,dubonnet rouge,22.125,343
wedding belle cocktail,gin,22.125,344
wedding belle cocktail,cherry brandy,5.55,345
wedding belle cocktail,orange juice,5.55,346
webster cocktail,apricot brandy,5.55,347
webster cocktail,dry vermouth,14.75,348
webster cocktail,gin,29.5,349
webster cocktail,lime,5,350
weakness,goldschlager,29.5,351
weakness,rumple minze,29.5,352
weakness,151 proof rum,29.5,353
weakness,jägermeister,29.5,354
wave runner (a.k.a. rave gunner),light rum,59,355
wave runner (a.k.a. rave gunner),cranberry juice,59,356
wave runner (a.k.a. rave gunner),sprite,100,357
watermelon shooter #4,southern comfort,59,358
watermelon shooter #4,pineapple juice,59,359
watermelon shooter #4,cranberry juice,29.5,360
watermelon shooter #4,sweet and sour,7.375,361
watermelon shooter #3,pineapple juice,100,362
watermelon shooter #3,jack daniels,100,363
watermelon shooter #3,ice,100,364
watermelon shooter #3,grenadine,100,365
watermelon shooter #2,southern comfort,44.25,366
watermelon shooter #2,amaretto,14.75,367
watermelon shooter #2,pineapple juice,3.7,368
watermelon shooter #1,southern comfort,14.75,369
watermelon shooter #1,amaretto,14.75,370
watermelon shooter #1,creme de noyaux,14.75,371
watermelon shooter #1,sweet and sour,14.75,372
watermelon crawl,southern comfort,3.33333333333333,373
watermelon crawl,amaretto,44.25,374
watermelon crawl,watermelon schnapps,3.33333333333333,375
watermelon crawl,orange juice,100,376
watermelon crawl,pineapple juice,100,377
watermelon,strawberry liqueur,29.5,378
watermelon,vodka,29.5,379
watermelon,sweet and sour,29.5,380
watermelon,orange juice,29.5,381
water (the original),water,100,382
washington cocktail,dry vermouth,44.25,383
washington cocktail,brandy,22.125,384
washington cocktail,sugar syrup,1.85,385
washington cocktail,bitters,1.8,386
warsaw cocktail,vodka,44.25,387
warsaw cocktail,dry vermouth,14.75,388
warsaw cocktail,blackberry brandy,14.75,389
warsaw cocktail,lemon juice,3.7,390
warped thursday,cherry cola,177,391
warped thursday,vodka,147.5,392
warped thursday,kool-aid,2.5,393
warp core breach,goldschlager,14.75,394
warp core breach,tequila,14.75,395
warp core breach,jack daniels,14.75,396
warm witch's blood,apple-cranberry juice,1028,397
warm witch's blood,orange juice,514,398
warm witch's blood,cloves,3.7,399
warm witch's blood,cinnamon,10,400
warm witch's blood,allspice,30,401
warm witch's blood,sugar,11.1,402
ward eight,blended whiskey,59,403
ward eight,lemon,5,404
ward eight,grenadine,3.7,405
ward eight,powdered sugar,3.7,406
ward eight,orange,10,407
