user_recc,t.user_vector_knnx.nn.dist.
lucky driver,6.84491893801511
red ox,7.09144938465091
love juice (lj),7.29083557350695
party slush punch #2,7.30815210099254
ocean drive,7.34441035455782
maèek,7.5146151674514
climax,7.53198258544233
spiced peach punch,7.54226852006861
simpson bronco,7.56442756150814
the pineapple drink,7.56770955276411
mind over marny,7.5704906235511
alfie cocktail,7.57117383818413
monsoon,7.60495533447844
izayoi,7.6150125972189
reptile (orginal),7.62962719830547
orgasm,7.63450523174879
rootbeer floatie,7.65632139836137
warm witch's blood,7.65709323232238
foxy lady,7.65763815962371
almond joy,7.65763815962371
dutch velvet,7.65976353348531
belle melon,7.68219375762365
lava flow,7.68566996338513
brown bomber,7.69708366949757
banana colada #1,7.69856862767966
jeweler's hammer,7.69974779369759
mock pink champagne #1,7.70067933960358
monarchy luau punch,7.70499988064707
stardust,7.70821671044315
yellow parakeet,7.71072248540348
winegum,7.71648112750057
peach treat,7.72367594856166
italian sombrero,7.72809938178625
outrigger,7.73654422730204
skinny dip,7.73739705185686
sombrero,7.74598988969305
pink squirrel,7.75099651170252
beelzebub,7.75571562460074
wet dream,7.76587042138013
long island iced tea #5,7.76919570491982
golden glow punch,7.78560824551284
hot springs cocktail,7.78671918859775
peach bunny,7.78898176354271
island girl,7.78992257687189
coffee grasshopper,7.78994584433166
pink panther #1,7.79288686972117
canadian cherry,7.81705313018094
amaretto sweet & sour,7.81878697743767
phillips screwdriver,7.82253953079917
pan galactic gargle blaster #2,7.82436063909519
